EPOCH=001,Accuracy= 85.570%
EPOCH=002,Accuracy= 88.370%
EPOCH=003,Accuracy= 88.090%
EPOCH=004,Accuracy= 89.490%
EPOCH=005,Accuracy= 88.890%
EPOCH=006,Accuracy= 88.640%
EPOCH=007,Accuracy= 89.970%
EPOCH=008,Accuracy= 89.680%
EPOCH=009,Accuracy= 90.470%
EPOCH=010,Accuracy= 90.600%
EPOCH=011,Accuracy= 90.420%
EPOCH=012,Accuracy= 90.500%
EPOCH=013,Accuracy= 90.030%
EPOCH=014,Accuracy= 90.200%
EPOCH=015,Accuracy= 90.870%
EPOCH=016,Accuracy= 90.070%
EPOCH=017,Accuracy= 90.310%
EPOCH=018,Accuracy= 90.270%
EPOCH=019,Accuracy= 91.100%
EPOCH=020,Accuracy= 90.650%
EPOCH=021,Accuracy= 90.980%
EPOCH=022,Accuracy= 91.170%
EPOCH=023,Accuracy= 90.380%
EPOCH=024,Accuracy= 90.780%
EPOCH=025,Accuracy= 90.910%
EPOCH=026,Accuracy= 90.960%
EPOCH=027,Accuracy= 90.860%
EPOCH=028,Accuracy= 90.560%
EPOCH=029,Accuracy= 90.540%
EPOCH=030,Accuracy= 90.270%
EPOCH=031,Accuracy= 90.750%
EPOCH=032,Accuracy= 91.060%
EPOCH=033,Accuracy= 90.710%
EPOCH=034,Accuracy= 90.850%
EPOCH=035,Accuracy= 90.140%
EPOCH=036,Accuracy= 90.750%
EPOCH=037,Accuracy= 89.990%
EPOCH=038,Accuracy= 90.330%
EPOCH=039,Accuracy= 90.950%
EPOCH=040,Accuracy= 91.240%
EPOCH=041,Accuracy= 91.180%
EPOCH=042,Accuracy= 90.660%
EPOCH=043,Accuracy= 90.760%
EPOCH=044,Accuracy= 91.320%
EPOCH=045,Accuracy= 91.310%
EPOCH=046,Accuracy= 90.080%
EPOCH=047,Accuracy= 90.820%
EPOCH=048,Accuracy= 91.210%
EPOCH=049,Accuracy= 90.370%
EPOCH=050,Accuracy= 91.010%
EPOCH=051,Accuracy= 91.200%
EPOCH=052,Accuracy= 90.980%
EPOCH=053,Accuracy= 90.920%
EPOCH=054,Accuracy= 90.620%
EPOCH=055,Accuracy= 91.230%
EPOCH=056,Accuracy= 91.070%
EPOCH=057,Accuracy= 91.050%
EPOCH=058,Accuracy= 91.310%
EPOCH=059,Accuracy= 90.640%
EPOCH=060,Accuracy= 90.950%
EPOCH=061,Accuracy= 91.530%
EPOCH=062,Accuracy= 90.610%
EPOCH=063,Accuracy= 90.620%
EPOCH=064,Accuracy= 90.320%
EPOCH=065,Accuracy= 91.000%
EPOCH=066,Accuracy= 91.030%
EPOCH=067,Accuracy= 91.450%
EPOCH=068,Accuracy= 90.490%
EPOCH=069,Accuracy= 90.980%
EPOCH=070,Accuracy= 91.370%
EPOCH=071,Accuracy= 90.940%
EPOCH=072,Accuracy= 91.150%
EPOCH=073,Accuracy= 91.020%
EPOCH=074,Accuracy= 91.310%
EPOCH=075,Accuracy= 90.470%
EPOCH=076,Accuracy= 91.050%
EPOCH=077,Accuracy= 91.090%
EPOCH=078,Accuracy= 91.030%
EPOCH=079,Accuracy= 90.920%
EPOCH=080,Accuracy= 91.100%
EPOCH=081,Accuracy= 90.880%
EPOCH=082,Accuracy= 90.930%
EPOCH=083,Accuracy= 91.030%
EPOCH=084,Accuracy= 90.710%
EPOCH=085,Accuracy= 90.800%
EPOCH=086,Accuracy= 90.330%
EPOCH=087,Accuracy= 91.040%
EPOCH=088,Accuracy= 90.100%
EPOCH=089,Accuracy= 91.120%
EPOCH=090,Accuracy= 90.920%
EPOCH=091,Accuracy= 91.190%
EPOCH=092,Accuracy= 90.460%
EPOCH=093,Accuracy= 90.640%
EPOCH=094,Accuracy= 90.840%
EPOCH=095,Accuracy= 91.030%
EPOCH=096,Accuracy= 89.630%
EPOCH=097,Accuracy= 91.490%
EPOCH=098,Accuracy= 91.220%
EPOCH=099,Accuracy= 90.750%
EPOCH=100,Accuracy= 90.180%
EPOCH=101,Accuracy= 91.140%
EPOCH=102,Accuracy= 90.950%
EPOCH=103,Accuracy= 91.530%
EPOCH=104,Accuracy= 90.610%
EPOCH=105,Accuracy= 91.390%
EPOCH=106,Accuracy= 91.320%
EPOCH=107,Accuracy= 91.210%
EPOCH=108,Accuracy= 91.410%
EPOCH=109,Accuracy= 90.900%
EPOCH=110,Accuracy= 90.710%
EPOCH=111,Accuracy= 91.430%
EPOCH=112,Accuracy= 91.150%
EPOCH=113,Accuracy= 90.630%
EPOCH=114,Accuracy= 91.400%
EPOCH=115,Accuracy= 91.350%
