EPOCH=001,Accuracy= 98.180%
EPOCH=002,Accuracy= 98.450%
EPOCH=003,Accuracy= 98.510%
EPOCH=004,Accuracy= 98.310%
EPOCH=005,Accuracy= 98.400%
EPOCH=006,Accuracy= 98.800%
EPOCH=007,Accuracy= 98.740%
EPOCH=008,Accuracy= 98.910%
EPOCH=009,Accuracy= 98.920%
EPOCH=010,Accuracy= 98.880%
EPOCH=011,Accuracy= 98.850%
EPOCH=012,Accuracy= 98.990%
EPOCH=013,Accuracy= 98.720%
EPOCH=014,Accuracy= 98.720%
EPOCH=015,Accuracy= 98.980%
EPOCH=016,Accuracy= 98.900%
EPOCH=017,Accuracy= 98.900%
EPOCH=018,Accuracy= 99.050%
EPOCH=019,Accuracy= 98.930%
EPOCH=020,Accuracy= 98.910%
EPOCH=021,Accuracy= 98.910%
EPOCH=022,Accuracy= 98.940%
EPOCH=023,Accuracy= 98.790%
EPOCH=024,Accuracy= 99.010%
EPOCH=025,Accuracy= 98.870%
EPOCH=026,Accuracy= 98.950%
EPOCH=027,Accuracy= 99.020%
EPOCH=028,Accuracy= 98.930%
EPOCH=029,Accuracy= 99.040%
EPOCH=030,Accuracy= 98.940%
EPOCH=031,Accuracy= 98.850%
EPOCH=032,Accuracy= 99.120%
EPOCH=033,Accuracy= 99.030%
EPOCH=034,Accuracy= 99.040%
EPOCH=035,Accuracy= 99.110%
EPOCH=036,Accuracy= 99.050%
EPOCH=037,Accuracy= 98.960%
EPOCH=038,Accuracy= 99.010%
EPOCH=039,Accuracy= 98.910%
EPOCH=040,Accuracy= 98.940%
EPOCH=041,Accuracy= 99.080%
EPOCH=042,Accuracy= 99.080%
EPOCH=043,Accuracy= 99.020%
EPOCH=044,Accuracy= 98.900%
EPOCH=045,Accuracy= 98.970%
EPOCH=046,Accuracy= 98.970%
EPOCH=047,Accuracy= 98.680%
EPOCH=048,Accuracy= 99.090%
EPOCH=049,Accuracy= 98.980%
EPOCH=050,Accuracy= 99.050%
