EPOCH=001,Accuracy= 89.430%
EPOCH=002,Accuracy= 91.220%
EPOCH=003,Accuracy= 90.970%
EPOCH=004,Accuracy= 91.010%
EPOCH=005,Accuracy= 92.300%
EPOCH=006,Accuracy= 92.580%
EPOCH=007,Accuracy= 92.290%
EPOCH=008,Accuracy= 93.030%
EPOCH=009,Accuracy= 91.850%
EPOCH=010,Accuracy= 92.180%
EPOCH=011,Accuracy= 92.160%
EPOCH=012,Accuracy= 92.470%
EPOCH=013,Accuracy= 92.510%
EPOCH=014,Accuracy= 93.090%
EPOCH=015,Accuracy= 93.170%
EPOCH=016,Accuracy= 92.920%
EPOCH=017,Accuracy= 92.730%
EPOCH=018,Accuracy= 92.600%
EPOCH=019,Accuracy= 92.580%
EPOCH=020,Accuracy= 92.980%
EPOCH=021,Accuracy= 92.640%
EPOCH=022,Accuracy= 92.660%
EPOCH=023,Accuracy= 93.260%
EPOCH=024,Accuracy= 93.420%
EPOCH=025,Accuracy= 93.430%
EPOCH=026,Accuracy= 93.850%
EPOCH=027,Accuracy= 93.820%
EPOCH=028,Accuracy= 93.910%
EPOCH=029,Accuracy= 93.950%
EPOCH=030,Accuracy= 94.030%
EPOCH=031,Accuracy= 94.000%
EPOCH=032,Accuracy= 94.010%
