001  00001 |Loss: 2.295 | Acc: 14.062% 
001  00002 |Loss: 2.302 | Acc: 10.547% 
001  00003 |Loss: 2.306 | Acc: 9.115% 
001  00004 |Loss: 2.305 | Acc: 8.789% 
001  00005 |Loss: 2.304 | Acc: 10.000% 
001  00006 |Loss: 2.304 | Acc: 10.026% 
001  00007 |Loss: 2.304 | Acc: 10.045% 
001  00008 |Loss: 2.303 | Acc: 9.863% 
001  00009 |Loss: 2.303 | Acc: 10.156% 
001  00010 |Loss: 2.302 | Acc: 9.922% 
001  00011 |Loss: 2.302 | Acc: 10.298% 
001  00012 |Loss: 2.302 | Acc: 10.482% 
001  00013 |Loss: 2.301 | Acc: 10.637% 
001  00014 |Loss: 2.301 | Acc: 10.658% 
001  00015 |Loss: 2.302 | Acc: 10.781% 
001  00016 |Loss: 2.302 | Acc: 10.498% 
001  00017 |Loss: 2.302 | Acc: 10.340% 
001  00018 |Loss: 2.302 | Acc: 10.156% 
001  00019 |Loss: 2.302 | Acc: 10.156% 
001  00020 |Loss: 2.302 | Acc: 10.117% 
001  00021 |Loss: 2.301 | Acc: 10.528% 
001  00022 |Loss: 2.301 | Acc: 10.618% 
001  00023 |Loss: 2.302 | Acc: 10.632% 
001  00024 |Loss: 2.302 | Acc: 10.710% 
001  00025 |Loss: 2.302 | Acc: 10.625% 
001  00026 |Loss: 2.302 | Acc: 10.607% 
001  00027 |Loss: 2.302 | Acc: 10.532% 
001  00028 |Loss: 2.302 | Acc: 10.491% 
001  00029 |Loss: 2.302 | Acc: 10.641% 
001  00030 |Loss: 2.302 | Acc: 10.495% 
001  00031 |Loss: 2.302 | Acc: 10.660% 
001  00032 |Loss: 2.302 | Acc: 10.498% 
001  00033 |Loss: 2.302 | Acc: 10.535% 
001  00034 |Loss: 2.302 | Acc: 10.570% 
001  00035 |Loss: 2.302 | Acc: 10.558% 
001  00036 |Loss: 2.302 | Acc: 10.503% 
001  00037 |Loss: 2.302 | Acc: 10.557% 
001  00038 |Loss: 2.302 | Acc: 10.629% 
001  00039 |Loss: 2.302 | Acc: 10.637% 
001  00040 |Loss: 2.302 | Acc: 10.586% 
001  00041 |Loss: 2.302 | Acc: 10.652% 
001  00042 |Loss: 2.301 | Acc: 10.733% 
001  00043 |Loss: 2.301 | Acc: 10.719% 
