001  00001 |Loss: 2.309 | Acc: 14.062% 
001  00002 |Loss: 2.308 | Acc: 13.281% 
001  00003 |Loss: 2.304 | Acc: 13.542% 
001  00004 |Loss: 2.294 | Acc: 14.453% 
001  00005 |Loss: 2.279 | Acc: 15.781% 
001  00006 |Loss: 2.256 | Acc: 17.578% 
001  00007 |Loss: 2.228 | Acc: 18.304% 
001  00008 |Loss: 2.183 | Acc: 19.922% 
001  00009 |Loss: 2.162 | Acc: 20.833% 
001  00010 |Loss: 2.113 | Acc: 21.719% 
001  00011 |Loss: 2.101 | Acc: 22.017% 
001  00012 |Loss: 2.069 | Acc: 23.568% 
001  00013 |Loss: 2.035 | Acc: 24.880% 
001  00014 |Loss: 2.017 | Acc: 25.670% 
001  00015 |Loss: 1.983 | Acc: 26.823% 
001  00016 |Loss: 1.952 | Acc: 27.881% 
001  00017 |Loss: 1.910 | Acc: 29.596% 
001  00018 |Loss: 1.888 | Acc: 30.512% 
001  00019 |Loss: 1.862 | Acc: 31.332% 
001  00020 |Loss: 1.826 | Acc: 32.656% 
001  00021 |Loss: 1.803 | Acc: 33.482% 
001  00022 |Loss: 1.783 | Acc: 34.020% 
001  00023 |Loss: 1.757 | Acc: 35.122% 
001  00024 |Loss: 1.734 | Acc: 35.742% 
001  00025 |Loss: 1.714 | Acc: 36.344% 
001  00026 |Loss: 1.697 | Acc: 36.899% 
001  00027 |Loss: 1.679 | Acc: 37.558% 
001  00028 |Loss: 1.661 | Acc: 37.919% 
001  00029 |Loss: 1.639 | Acc: 38.497% 
001  00030 |Loss: 1.624 | Acc: 38.932% 
001  00031 |Loss: 1.601 | Acc: 39.642% 
001  00032 |Loss: 1.584 | Acc: 40.186% 
001  00033 |Loss: 1.572 | Acc: 40.554% 
001  00034 |Loss: 1.553 | Acc: 41.383% 
001  00035 |Loss: 1.541 | Acc: 41.808% 
001  00036 |Loss: 1.526 | Acc: 42.361% 
001  00037 |Loss: 1.509 | Acc: 43.074% 
001  00038 |Loss: 1.493 | Acc: 43.627% 
001  00039 |Loss: 1.478 | Acc: 44.211% 
001  00040 |Loss: 1.465 | Acc: 44.766% 
001  00041 |Loss: 1.450 | Acc: 45.370% 
001  00042 |Loss: 1.432 | Acc: 46.094% 
001  00043 |Loss: 1.425 | Acc: 46.493% 
001  00044 |Loss: 1.411 | Acc: 47.035% 
001  00045 |Loss: 1.400 | Acc: 47.465% 
001  00046 |Loss: 1.388 | Acc: 47.843% 
001  00047 |Loss: 1.373 | Acc: 48.504% 
001  00048 |Loss: 1.359 | Acc: 49.040% 
001  00049 |Loss: 1.348 | Acc: 49.394% 
001  00050 |Loss: 1.334 | Acc: 49.859% 
001  00051 |Loss: 1.323 | Acc: 50.245% 
001  00052 |Loss: 1.314 | Acc: 50.571% 
001  00053 |Loss: 1.305 | Acc: 50.884% 
001  00054 |Loss: 1.297 | Acc: 51.215% 
001  00055 |Loss: 1.288 | Acc: 51.605% 
001  00056 |Loss: 1.280 | Acc: 51.925% 
001  00057 |Loss: 1.272 | Acc: 52.234% 
001  00058 |Loss: 1.264 | Acc: 52.519% 
001  00059 |Loss: 1.257 | Acc: 52.873% 
001  00060 |Loss: 1.252 | Acc: 53.086% 
001  00061 |Loss: 1.244 | Acc: 53.317% 
001  00062 |Loss: 1.235 | Acc: 53.667% 
001  00063 |Loss: 1.226 | Acc: 53.993% 
001  00064 |Loss: 1.219 | Acc: 54.224% 
001  00065 |Loss: 1.211 | Acc: 54.555% 
001  00066 |Loss: 1.202 | Acc: 54.924% 
001  00067 |Loss: 1.195 | Acc: 55.236% 
001  00068 |Loss: 1.186 | Acc: 55.538% 
001  00069 |Loss: 1.180 | Acc: 55.763% 
001  00070 |Loss: 1.175 | Acc: 56.027% 
001  00071 |Loss: 1.169 | Acc: 56.206% 
001  00072 |Loss: 1.164 | Acc: 56.391% 
001  00073 |Loss: 1.159 | Acc: 56.539% 
001  00074 |Loss: 1.153 | Acc: 56.757% 
001  00075 |Loss: 1.149 | Acc: 56.927% 
