001  00001 |Loss: 2.352 | Acc: 11.719% 
001  00002 |Loss: 2.331 | Acc: 12.891% 
001  00003 |Loss: 2.325 | Acc: 12.760% 
001  00004 |Loss: 2.336 | Acc: 12.695% 
001  00005 |Loss: 2.333 | Acc: 12.188% 
001  00006 |Loss: 2.342 | Acc: 11.458% 
001  00007 |Loss: 2.340 | Acc: 10.938% 
001  00008 |Loss: 2.340 | Acc: 10.938% 
001  00009 |Loss: 2.329 | Acc: 11.545% 
001  00010 |Loss: 2.324 | Acc: 11.875% 
001  00011 |Loss: 2.319 | Acc: 12.429% 
001  00012 |Loss: 2.312 | Acc: 12.891% 
001  00013 |Loss: 2.304 | Acc: 13.522% 
001  00014 |Loss: 2.299 | Acc: 14.007% 
001  00015 |Loss: 2.289 | Acc: 14.635% 
001  00016 |Loss: 2.275 | Acc: 15.479% 
001  00017 |Loss: 2.260 | Acc: 16.222% 
001  00018 |Loss: 2.243 | Acc: 17.144% 
001  00019 |Loss: 2.223 | Acc: 18.092% 
001  00020 |Loss: 2.208 | Acc: 18.945% 
001  00021 |Loss: 2.195 | Acc: 19.568% 
001  00022 |Loss: 2.174 | Acc: 20.419% 
001  00023 |Loss: 2.154 | Acc: 21.264% 
001  00024 |Loss: 2.130 | Acc: 22.298% 
001  00025 |Loss: 2.113 | Acc: 23.031% 
001  00026 |Loss: 2.088 | Acc: 24.069% 
001  00027 |Loss: 2.068 | Acc: 25.058% 
001  00028 |Loss: 2.040 | Acc: 26.144% 
001  00029 |Loss: 2.014 | Acc: 27.290% 
001  00030 |Loss: 1.992 | Acc: 28.229% 
001  00031 |Loss: 1.964 | Acc: 29.461% 
001  00032 |Loss: 1.940 | Acc: 30.566% 
001  00033 |Loss: 1.915 | Acc: 31.747% 
001  00034 |Loss: 1.889 | Acc: 32.721% 
001  00035 |Loss: 1.862 | Acc: 33.594% 
001  00036 |Loss: 1.835 | Acc: 34.614% 
001  00037 |Loss: 1.811 | Acc: 35.642% 
001  00038 |Loss: 1.785 | Acc: 36.595% 
001  00039 |Loss: 1.759 | Acc: 37.600% 
001  00040 |Loss: 1.735 | Acc: 38.438% 
001  00041 |Loss: 1.709 | Acc: 39.253% 
001  00042 |Loss: 1.686 | Acc: 40.234% 
001  00043 |Loss: 1.663 | Acc: 41.116% 
001  00044 |Loss: 1.641 | Acc: 41.921% 
001  00045 |Loss: 1.624 | Acc: 42.552% 
001  00046 |Loss: 1.604 | Acc: 43.325% 
001  00047 |Loss: 1.587 | Acc: 44.049% 
001  00048 |Loss: 1.571 | Acc: 44.645% 
001  00049 |Loss: 1.552 | Acc: 45.424% 
001  00050 |Loss: 1.533 | Acc: 46.156% 
001  00051 |Loss: 1.514 | Acc: 46.783% 
001  00052 |Loss: 1.498 | Acc: 47.386% 
001  00053 |Loss: 1.481 | Acc: 47.981% 
001  00054 |Loss: 1.463 | Acc: 48.626% 
001  00055 |Loss: 1.447 | Acc: 49.219% 
001  00056 |Loss: 1.432 | Acc: 49.805% 
001  00057 |Loss: 1.416 | Acc: 50.397% 
001  00058 |Loss: 1.400 | Acc: 51.024% 
001  00059 |Loss: 1.384 | Acc: 51.642% 
001  00060 |Loss: 1.371 | Acc: 52.083% 
001  00061 |Loss: 1.359 | Acc: 52.561% 
001  00062 |Loss: 1.344 | Acc: 53.075% 
001  00063 |Loss: 1.329 | Acc: 53.584% 
001  00064 |Loss: 1.314 | Acc: 54.102% 
001  00065 |Loss: 1.302 | Acc: 54.531% 
001  00066 |Loss: 1.289 | Acc: 54.995% 
001  00067 |Loss: 1.277 | Acc: 55.469% 
001  00068 |Loss: 1.262 | Acc: 55.997% 
001  00069 |Loss: 1.250 | Acc: 56.476% 
001  00070 |Loss: 1.239 | Acc: 56.908% 
001  00071 |Loss: 1.228 | Acc: 57.328% 
001  00072 |Loss: 1.217 | Acc: 57.737% 
001  00073 |Loss: 1.205 | Acc: 58.166% 
001  00074 |Loss: 1.194 | Acc: 58.583% 
001  00075 |Loss: 1.183 | Acc: 59.010% 
001  00076 |Loss: 1.173 | Acc: 59.385% 
001  00077 |Loss: 1.163 | Acc: 59.761% 
001  00078 |Loss: 1.153 | Acc: 60.116% 
001  00079 |Loss: 1.143 | Acc: 60.522% 
001  00080 |Loss: 1.133 | Acc: 60.898% 
001  00081 |Loss: 1.125 | Acc: 61.217% 
001  00082 |Loss: 1.116 | Acc: 61.566% 
001  00083 |Loss: 1.107 | Acc: 61.869% 
001  00084 |Loss: 1.097 | Acc: 62.240% 
001  00085 |Loss: 1.088 | Acc: 62.555% 
001  00086 |Loss: 1.079 | Acc: 62.882% 
001  00087 |Loss: 1.071 | Acc: 63.200% 
001  00088 |Loss: 1.063 | Acc: 63.441% 
001  00089 |Loss: 1.054 | Acc: 63.773% 
001  00090 |Loss: 1.047 | Acc: 64.071% 
001  00091 |Loss: 1.038 | Acc: 64.363% 
001  00092 |Loss: 1.029 | Acc: 64.682% 
001  00093 |Loss: 1.021 | Acc: 64.987% 
001  00094 |Loss: 1.012 | Acc: 65.284% 
001  00095 |Loss: 1.003 | Acc: 65.584% 
001  00096 |Loss: 0.997 | Acc: 65.845% 
001  00097 |Loss: 0.991 | Acc: 66.068% 
001  00098 |Loss: 0.985 | Acc: 66.295% 
001  00099 |Loss: 0.980 | Acc: 66.477% 
001  00100 |Loss: 0.972 | Acc: 66.742% 
001  00101 |Loss: 0.964 | Acc: 67.033% 
001  00102 |Loss: 0.959 | Acc: 67.226% 
001  00103 |Loss: 0.951 | Acc: 67.521% 
001  00104 |Loss: 0.945 | Acc: 67.743% 
001  00105 |Loss: 0.939 | Acc: 67.961% 
001  00106 |Loss: 0.931 | Acc: 68.234% 
001  00107 |Loss: 0.924 | Acc: 68.465% 
001  00108 |Loss: 0.919 | Acc: 68.656% 
001  00109 |Loss: 0.914 | Acc: 68.886% 
001  00110 |Loss: 0.908 | Acc: 69.098% 
001  00111 |Loss: 0.902 | Acc: 69.292% 
001  00112 |Loss: 0.897 | Acc: 69.496% 
001  00113 |Loss: 0.892 | Acc: 69.697% 
001  00114 |Loss: 0.886 | Acc: 69.888% 
001  00115 |Loss: 0.880 | Acc: 70.095% 
001  00116 |Loss: 0.875 | Acc: 70.272% 
001  00117 |Loss: 0.871 | Acc: 70.433% 
001  00118 |Loss: 0.865 | Acc: 70.610% 
001  00119 |Loss: 0.861 | Acc: 70.779% 
001  00120 |Loss: 0.855 | Acc: 70.977% 
001  00121 |Loss: 0.851 | Acc: 71.145% 
001  00122 |Loss: 0.846 | Acc: 71.331% 
001  00123 |Loss: 0.842 | Acc: 71.488% 
001  00124 |Loss: 0.836 | Acc: 71.680% 
001  00125 |Loss: 0.831 | Acc: 71.856% 
001  00126 |Loss: 0.826 | Acc: 72.042% 
001  00127 |Loss: 0.821 | Acc: 72.213% 
001  00128 |Loss: 0.816 | Acc: 72.375% 
001  00129 |Loss: 0.813 | Acc: 72.517% 
001  00130 |Loss: 0.808 | Acc: 72.674% 
001  00131 |Loss: 0.803 | Acc: 72.835% 
001  00132 |Loss: 0.798 | Acc: 73.011% 
001  00133 |Loss: 0.794 | Acc: 73.156% 
001  00134 |Loss: 0.790 | Acc: 73.303% 
001  00135 |Loss: 0.786 | Acc: 73.455% 
001  00136 |Loss: 0.780 | Acc: 73.633% 
001  00137 |Loss: 0.777 | Acc: 73.774% 
001  00138 |Loss: 0.773 | Acc: 73.930% 
001  00139 |Loss: 0.768 | Acc: 74.095% 
001  00140 |Loss: 0.764 | Acc: 74.230% 
001  00141 |Loss: 0.761 | Acc: 74.335% 
001  00142 |Loss: 0.757 | Acc: 74.483% 
001  00143 |Loss: 0.754 | Acc: 74.601% 
001  00144 |Loss: 0.750 | Acc: 74.729% 
001  00145 |Loss: 0.746 | Acc: 74.838% 
001  00146 |Loss: 0.743 | Acc: 74.979% 
001  00147 |Loss: 0.739 | Acc: 75.101% 
001  00148 |Loss: 0.736 | Acc: 75.232% 
001  00149 |Loss: 0.732 | Acc: 75.367% 
001  00150 |Loss: 0.728 | Acc: 75.490% 
001  00151 |Loss: 0.725 | Acc: 75.605% 
001  00152 |Loss: 0.722 | Acc: 75.709% 
001  00153 |Loss: 0.719 | Acc: 75.812% 
001  00154 |Loss: 0.716 | Acc: 75.939% 
001  00155 |Loss: 0.712 | Acc: 76.064% 
001  00156 |Loss: 0.709 | Acc: 76.167% 
001  00157 |Loss: 0.706 | Acc: 76.264% 
001  00158 |Loss: 0.704 | Acc: 76.340% 
001  00159 |Loss: 0.701 | Acc: 76.440% 
001  00160 |Loss: 0.698 | Acc: 76.543% 
001  00161 |Loss: 0.694 | Acc: 76.664% 
001  00162 |Loss: 0.691 | Acc: 76.755% 
001  00163 |Loss: 0.688 | Acc: 76.860% 
001  00164 |Loss: 0.685 | Acc: 76.958% 
001  00165 |Loss: 0.682 | Acc: 77.069% 
001  00166 |Loss: 0.679 | Acc: 77.155% 
001  00167 |Loss: 0.676 | Acc: 77.255% 
001  00168 |Loss: 0.673 | Acc: 77.367% 
001  00169 |Loss: 0.670 | Acc: 77.469% 
001  00170 |Loss: 0.668 | Acc: 77.546% 
001  00171 |Loss: 0.665 | Acc: 77.636% 
001  00172 |Loss: 0.663 | Acc: 77.703% 
001  00173 |Loss: 0.661 | Acc: 77.804% 
001  00174 |Loss: 0.658 | Acc: 77.896% 
001  00175 |Loss: 0.656 | Acc: 77.987% 
001  00176 |Loss: 0.653 | Acc: 78.085% 
001  00177 |Loss: 0.651 | Acc: 78.169% 
001  00178 |Loss: 0.648 | Acc: 78.265% 
001  00179 |Loss: 0.646 | Acc: 78.352% 
001  00180 |Loss: 0.643 | Acc: 78.433% 
001  00181 |Loss: 0.641 | Acc: 78.522% 
001  00182 |Loss: 0.638 | Acc: 78.619% 
001  00183 |Loss: 0.635 | Acc: 78.714% 
001  00184 |Loss: 0.633 | Acc: 78.792% 
001  00185 |Loss: 0.630 | Acc: 78.881% 
001  00186 |Loss: 0.627 | Acc: 78.965% 
001  00187 |Loss: 0.624 | Acc: 79.061% 
001  00188 |Loss: 0.622 | Acc: 79.147% 
001  00189 |Loss: 0.620 | Acc: 79.237% 
001  00190 |Loss: 0.617 | Acc: 79.317% 
001  00191 |Loss: 0.615 | Acc: 79.381% 
001  00192 |Loss: 0.612 | Acc: 79.468% 
001  00193 |Loss: 0.610 | Acc: 79.546% 
001  00194 |Loss: 0.608 | Acc: 79.627% 
001  00195 |Loss: 0.606 | Acc: 79.696% 
001  00196 |Loss: 0.604 | Acc: 79.755% 
001  00197 |Loss: 0.602 | Acc: 79.834% 
001  00198 |Loss: 0.599 | Acc: 79.928% 
001  00199 |Loss: 0.597 | Acc: 80.009% 
001  00200 |Loss: 0.595 | Acc: 80.074% 
001  00201 |Loss: 0.592 | Acc: 80.162% 
001  00202 |Loss: 0.590 | Acc: 80.248% 
001  00203 |Loss: 0.588 | Acc: 80.307% 
001  00204 |Loss: 0.586 | Acc: 80.377% 
001  00205 |Loss: 0.585 | Acc: 80.431% 
001  00206 |Loss: 0.583 | Acc: 80.495% 
001  00207 |Loss: 0.581 | Acc: 80.582% 
001  00208 |Loss: 0.579 | Acc: 80.649% 
001  00209 |Loss: 0.577 | Acc: 80.719% 
001  00210 |Loss: 0.575 | Acc: 80.789% 
001  00211 |Loss: 0.573 | Acc: 80.839% 
001  00212 |Loss: 0.572 | Acc: 80.900% 
001  00213 |Loss: 0.570 | Acc: 80.960% 
001  00214 |Loss: 0.568 | Acc: 81.031% 
001  00215 |Loss: 0.567 | Acc: 81.076% 
001  00216 |Loss: 0.565 | Acc: 81.138% 
001  00217 |Loss: 0.563 | Acc: 81.203% 
001  00218 |Loss: 0.562 | Acc: 81.250% 
001  00219 |Loss: 0.560 | Acc: 81.307% 
001  00220 |Loss: 0.559 | Acc: 81.360% 
001  00221 |Loss: 0.557 | Acc: 81.423% 
001  00222 |Loss: 0.555 | Acc: 81.486% 
001  00223 |Loss: 0.553 | Acc: 81.544% 
001  00224 |Loss: 0.551 | Acc: 81.606% 
001  00225 |Loss: 0.549 | Acc: 81.681% 
001  00226 |Loss: 0.547 | Acc: 81.755% 
001  00227 |Loss: 0.545 | Acc: 81.821% 
001  00228 |Loss: 0.543 | Acc: 81.884% 
001  00229 |Loss: 0.541 | Acc: 81.956% 
001  00230 |Loss: 0.539 | Acc: 82.018% 
001  00231 |Loss: 0.538 | Acc: 82.068% 
001  00232 |Loss: 0.536 | Acc: 82.139% 
001  00233 |Loss: 0.534 | Acc: 82.209% 
001  00234 |Loss: 0.532 | Acc: 82.272% 
001  00235 |Loss: 0.530 | Acc: 82.324% 
001  00236 |Loss: 0.529 | Acc: 82.372% 
001  00237 |Loss: 0.527 | Acc: 82.424% 
001  00238 |Loss: 0.525 | Acc: 82.474% 
001  00239 |Loss: 0.524 | Acc: 82.528% 
001  00240 |Loss: 0.522 | Acc: 82.588% 
001  00241 |Loss: 0.520 | Acc: 82.637% 
001  00242 |Loss: 0.519 | Acc: 82.690% 
001  00243 |Loss: 0.518 | Acc: 82.735% 
001  00244 |Loss: 0.516 | Acc: 82.790% 
001  00245 |Loss: 0.514 | Acc: 82.835% 
001  00246 |Loss: 0.513 | Acc: 82.879% 
001  00247 |Loss: 0.512 | Acc: 82.933% 
001  00248 |Loss: 0.510 | Acc: 82.986% 
001  00249 |Loss: 0.509 | Acc: 83.038% 
001  00250 |Loss: 0.507 | Acc: 83.078% 
001  00251 |Loss: 0.506 | Acc: 83.124% 
001  00252 |Loss: 0.504 | Acc: 83.181% 
001  00253 |Loss: 0.503 | Acc: 83.229% 
001  00254 |Loss: 0.502 | Acc: 83.268% 
001  00255 |Loss: 0.500 | Acc: 83.315% 
001  00256 |Loss: 0.499 | Acc: 83.371% 
001  00257 |Loss: 0.497 | Acc: 83.430% 
001  00258 |Loss: 0.496 | Acc: 83.476% 
001  00259 |Loss: 0.495 | Acc: 83.521% 
001  00260 |Loss: 0.493 | Acc: 83.567% 
001  00261 |Loss: 0.492 | Acc: 83.615% 
001  00262 |Loss: 0.491 | Acc: 83.662% 
001  00263 |Loss: 0.489 | Acc: 83.719% 
001  00264 |Loss: 0.488 | Acc: 83.757% 
001  00265 |Loss: 0.486 | Acc: 83.812% 
001  00266 |Loss: 0.485 | Acc: 83.855% 
001  00267 |Loss: 0.484 | Acc: 83.901% 
001  00268 |Loss: 0.483 | Acc: 83.938% 
001  00269 |Loss: 0.481 | Acc: 83.989% 
001  00270 |Loss: 0.480 | Acc: 84.039% 
001  00271 |Loss: 0.479 | Acc: 84.081% 
001  00272 |Loss: 0.477 | Acc: 84.122% 
001  00273 |Loss: 0.476 | Acc: 84.155% 
001  00274 |Loss: 0.475 | Acc: 84.204% 
001  00275 |Loss: 0.474 | Acc: 84.256% 
001  00276 |Loss: 0.473 | Acc: 84.287% 
001  00277 |Loss: 0.471 | Acc: 84.338% 
001  00278 |Loss: 0.470 | Acc: 84.381% 
001  00279 |Loss: 0.469 | Acc: 84.425% 
001  00280 |Loss: 0.468 | Acc: 84.467% 
001  00281 |Loss: 0.467 | Acc: 84.508% 
001  00282 |Loss: 0.466 | Acc: 84.550% 
001  00283 |Loss: 0.464 | Acc: 84.596% 
001  00284 |Loss: 0.463 | Acc: 84.634% 
001  00285 |Loss: 0.462 | Acc: 84.660% 
001  00286 |Loss: 0.461 | Acc: 84.700% 
001  00287 |Loss: 0.460 | Acc: 84.734% 
001  00288 |Loss: 0.459 | Acc: 84.774% 
001  00289 |Loss: 0.458 | Acc: 84.802% 
001  00290 |Loss: 0.457 | Acc: 84.830% 
001  00291 |Loss: 0.456 | Acc: 84.864% 
001  00292 |Loss: 0.455 | Acc: 84.905% 
001  00293 |Loss: 0.454 | Acc: 84.943% 
001  00294 |Loss: 0.452 | Acc: 84.986% 
001  00295 |Loss: 0.452 | Acc: 85.019% 
001  00296 |Loss: 0.451 | Acc: 85.059% 
001  00297 |Loss: 0.450 | Acc: 85.083% 
001  00298 |Loss: 0.449 | Acc: 85.104% 
001  00299 |Loss: 0.448 | Acc: 85.133% 
001  00300 |Loss: 0.447 | Acc: 85.174% 
001  00301 |Loss: 0.446 | Acc: 85.216% 
001  00302 |Loss: 0.445 | Acc: 85.255% 
001  00303 |Loss: 0.444 | Acc: 85.295% 
001  00304 |Loss: 0.442 | Acc: 85.339% 
001  00305 |Loss: 0.442 | Acc: 85.369% 
001  00306 |Loss: 0.441 | Acc: 85.406% 
001  00307 |Loss: 0.439 | Acc: 85.444% 
001  00308 |Loss: 0.439 | Acc: 85.473% 
001  00309 |Loss: 0.437 | Acc: 85.508% 
001  00310 |Loss: 0.436 | Acc: 85.544% 
001  00311 |Loss: 0.435 | Acc: 85.578% 
001  00312 |Loss: 0.434 | Acc: 85.614% 
001  00313 |Loss: 0.433 | Acc: 85.658% 
001  00314 |Loss: 0.432 | Acc: 85.681% 
001  00315 |Loss: 0.432 | Acc: 85.697% 
001  00316 |Loss: 0.430 | Acc: 85.737% 
001  00317 |Loss: 0.430 | Acc: 85.767% 
001  00318 |Loss: 0.429 | Acc: 85.800% 
001  00319 |Loss: 0.428 | Acc: 85.822% 
001  00320 |Loss: 0.427 | Acc: 85.847% 
001  00321 |Loss: 0.426 | Acc: 85.882% 
001  00322 |Loss: 0.425 | Acc: 85.923% 
001  00323 |Loss: 0.424 | Acc: 85.962% 
001  00324 |Loss: 0.423 | Acc: 85.993% 
001  00325 |Loss: 0.422 | Acc: 86.029% 
001  00326 |Loss: 0.421 | Acc: 86.057% 
001  00327 |Loss: 0.420 | Acc: 86.095% 
001  00328 |Loss: 0.419 | Acc: 86.126% 
001  00329 |Loss: 0.419 | Acc: 86.154% 
001  00330 |Loss: 0.418 | Acc: 86.179% 
001  00331 |Loss: 0.417 | Acc: 86.209% 
001  00332 |Loss: 0.416 | Acc: 86.239% 
001  00333 |Loss: 0.415 | Acc: 86.273% 
001  00334 |Loss: 0.414 | Acc: 86.300% 
001  00335 |Loss: 0.413 | Acc: 86.334% 
001  00336 |Loss: 0.412 | Acc: 86.370% 
001  00337 |Loss: 0.411 | Acc: 86.401% 
001  00338 |Loss: 0.410 | Acc: 86.434% 
001  00339 |Loss: 0.409 | Acc: 86.470% 
001  00340 |Loss: 0.408 | Acc: 86.496% 
001  00341 |Loss: 0.407 | Acc: 86.531% 
001  00342 |Loss: 0.406 | Acc: 86.566% 
001  00343 |Loss: 0.406 | Acc: 86.593% 
001  00344 |Loss: 0.405 | Acc: 86.619% 
001  00345 |Loss: 0.404 | Acc: 86.649% 
001  00346 |Loss: 0.403 | Acc: 86.674% 
001  00347 |Loss: 0.402 | Acc: 86.701% 
001  00348 |Loss: 0.402 | Acc: 86.721% 
001  00349 |Loss: 0.401 | Acc: 86.755% 
001  00350 |Loss: 0.400 | Acc: 86.786% 
001  00351 |Loss: 0.399 | Acc: 86.817% 
001  00352 |Loss: 0.398 | Acc: 86.845% 
001  00353 |Loss: 0.398 | Acc: 86.869% 
001  00354 |Loss: 0.397 | Acc: 86.893% 
001  00355 |Loss: 0.396 | Acc: 86.923% 
001  00356 |Loss: 0.395 | Acc: 86.947% 
001  00357 |Loss: 0.394 | Acc: 86.973% 
001  00358 |Loss: 0.394 | Acc: 87.000% 
001  00359 |Loss: 0.393 | Acc: 87.026% 
001  00360 |Loss: 0.392 | Acc: 87.059% 
001  00361 |Loss: 0.391 | Acc: 87.082% 
001  00362 |Loss: 0.390 | Acc: 87.112% 
001  00363 |Loss: 0.389 | Acc: 87.138% 
001  00364 |Loss: 0.389 | Acc: 87.165% 
001  00365 |Loss: 0.388 | Acc: 87.190% 
001  00366 |Loss: 0.387 | Acc: 87.216% 
001  00367 |Loss: 0.386 | Acc: 87.247% 
001  00368 |Loss: 0.385 | Acc: 87.277% 
001  00369 |Loss: 0.385 | Acc: 87.305% 
001  00370 |Loss: 0.384 | Acc: 87.325% 
001  00371 |Loss: 0.383 | Acc: 87.350% 
001  00372 |Loss: 0.383 | Acc: 87.376% 
001  00373 |Loss: 0.382 | Acc: 87.404% 
001  00374 |Loss: 0.381 | Acc: 87.427% 
001  00375 |Loss: 0.380 | Acc: 87.452% 
001  00376 |Loss: 0.380 | Acc: 87.469% 
001  00377 |Loss: 0.379 | Acc: 87.502% 
001  00378 |Loss: 0.378 | Acc: 87.529% 
001  00379 |Loss: 0.377 | Acc: 87.558% 
001  00380 |Loss: 0.377 | Acc: 87.576% 
001  00381 |Loss: 0.376 | Acc: 87.603% 
001  00382 |Loss: 0.375 | Acc: 87.627% 
001  00383 |Loss: 0.374 | Acc: 87.653% 
001  00384 |Loss: 0.373 | Acc: 87.675% 
001  00385 |Loss: 0.373 | Acc: 87.699% 
001  00386 |Loss: 0.372 | Acc: 87.725% 
001  00387 |Loss: 0.371 | Acc: 87.754% 
001  00388 |Loss: 0.370 | Acc: 87.782% 
001  00389 |Loss: 0.370 | Acc: 87.805% 
