001  00001 |Loss: 2.395 | Acc: 11.719% 
001  00002 |Loss: 2.336 | Acc: 12.891% 
001  00003 |Loss: 2.275 | Acc: 15.104% 
001  00004 |Loss: 2.222 | Acc: 17.578% 
001  00005 |Loss: 2.169 | Acc: 19.844% 
001  00006 |Loss: 2.100 | Acc: 23.828% 
001  00007 |Loss: 2.038 | Acc: 26.897% 
001  00008 |Loss: 1.965 | Acc: 31.152% 
001  00009 |Loss: 1.886 | Acc: 35.503% 
001  00010 |Loss: 1.807 | Acc: 38.984% 
001  00011 |Loss: 1.743 | Acc: 41.406% 
001  00012 |Loss: 1.686 | Acc: 43.359% 
001  00013 |Loss: 1.627 | Acc: 45.312% 
001  00014 |Loss: 1.574 | Acc: 46.987% 
001  00015 |Loss: 1.515 | Acc: 49.062% 
001  00016 |Loss: 1.477 | Acc: 50.049% 
001  00017 |Loss: 1.435 | Acc: 51.333% 
001  00018 |Loss: 1.398 | Acc: 52.344% 
001  00019 |Loss: 1.361 | Acc: 53.536% 
001  00020 |Loss: 1.320 | Acc: 54.922% 
001  00021 |Loss: 1.294 | Acc: 55.692% 
001  00022 |Loss: 1.268 | Acc: 56.641% 
001  00023 |Loss: 1.245 | Acc: 57.473% 
001  00024 |Loss: 1.221 | Acc: 58.138% 
001  00025 |Loss: 1.196 | Acc: 58.906% 
001  00026 |Loss: 1.169 | Acc: 59.856% 
001  00027 |Loss: 1.153 | Acc: 60.214% 
001  00028 |Loss: 1.129 | Acc: 60.910% 
001  00029 |Loss: 1.110 | Acc: 61.449% 
001  00030 |Loss: 1.096 | Acc: 62.057% 
001  00031 |Loss: 1.083 | Acc: 62.525% 
001  00032 |Loss: 1.072 | Acc: 62.939% 
001  00033 |Loss: 1.055 | Acc: 63.542% 
001  00034 |Loss: 1.042 | Acc: 64.062% 
001  00035 |Loss: 1.030 | Acc: 64.375% 
001  00036 |Loss: 1.019 | Acc: 64.714% 
001  00037 |Loss: 1.011 | Acc: 64.992% 
001  00038 |Loss: 1.002 | Acc: 65.317% 
